Term_Key,Language_0 (CN),Language_1 (EN),Language_2 (JP),Language_3 (RU),Korean
Font_JXZK,JXZK2,JXZK2,NotoSansJP-VariableFont_wght SDF,SourceHanSansCN-Normal SDF_Normal,
Font_MSZ,MaShanZheng-Regular_Glow,SourceHanSansCN-Normal SDF_Normal,NotoSansJP-VariableFont_wght SDF,SourceHanSansCN-Normal SDF_Normal,
Card_Name/1,追风,Wind Chaser,風追い,Преследователь ветра,추풍
Card_Name/10001,追风-破云,Wind Chaser - Cloud Piercer,風追い-雲破り,Преследователь ветра — Пронзающий облака,추풍-파운
Card_Name/20001,追风-贯日,Wind Chaser - Sun Piercer,風追い-日貫き,Преследователь ветра — Пронзающий солнце,추풍-관일
Card_Name/2,回龙剑,Circling Dragon Sword,回龍剣,Меч кружащего дракона,회룡검
Card_Name/10002,回龙-雷行雨布,Circling Dragon - Thunder Rain,回龍-雷行雨布（らいぎょううふ）,Кружащий дракон — Громовой ливень,회룡-뇌행우포
Card_Name/20002,回龙-百鲤来朝,Circling Dragon - Carps Homage,回龍-百鯉来朝（ひゃくりらいちょう）,Кружащий дракон — Поклон карпов,회룡-백리래조
Card_Name/3,天落剑,,,,천락검
Card_Name/4,伏剑阵,,,,복검진
Card_Name/5,剑雨,,,,검우
Card_Name/6,风,Wind,風,Ветер,풍
Card_Name/10006,风-散絮,Wind - Scattered Fluff,風-絮散り（わたちり）,Ветер — Разлетающийся пух,풍-산서
Card_Name/20006,风-镜御,Wind - Mirror Ward,風-鏡御（きょうおん）,Ветер — Зеркальная защита,풍-경어
Card_Name/7,烟火弹,Firework Bolt,煙火弾,Фейерверочный залп,연화탄
Card_Name/10007,烟火-愤怒之火,Fireworks Bolt - Wrathfire,煙火-怒りの火,Фейерверочный залп — Огонь гнева,연화-분노지화
Card_Name/20007,烟火-连陨之火,Fireworks Bolt - Meteor Shower,煙火-続隕（そくいん）の火,Фейерверочный залп — Метеоритный дождь,연화-연운지화
Card_Name/8,水,,,,수
Card_Name/9,雷符,Lightning Sigil,雷霆符,Печать молнии,뇌부
Card_Name/10009,雷符-炫目,Lightning Sigil - Dazzling,雷霆符-目眩く,Печать молнии — Ослепление,뇌부-현목
Card_Name/20009,雷符-晃神,Lightning Sigil - Confusion,雷霆符-神晃り,Печать молнии — Смятение,뇌부-황신
Card_Name/10,剑影,Flashing Sword,剣影,Сверкающий меч,검영
Card_Name/10010,剑影-归风,Flashing Sword - Circling Wind,剣影-風戻り（かざもどり）,Сверкающий меч — Кружащий ветер,검영-귀풍
Card_Name/20010,剑影-留火,Flashing Sword - Lingering Flame,剣影-火留り（ひどまり）,Сверкающий меч — Тлеющее пламя,검영-유화
Card_Name/11,灵御,Mana Ward,霊御（れいご）,Защита маны,영어
Card_Name/10011,灵御-涓潮,Mana Ward - Tidal Flow,霊御-涓潮（けんちょう）,Защита маны — Приливное течение,영어-연조
Card_Name/20011,灵御-雷铠,Mana Ward - Lightning Armor,霊御-雷鎧（らいがい）,Защита маны — Молниевая броня,영어-뇌개
Card_Name/12,神骸,Divine Remains,神骸（しんがい）,Божественные останки,신해
Card_Name/13,御剑-云聚,,,,어검-운취
Card_Name/14,赤符-燃血,Scarlet Sigil - Burning Blood,赤符-血燃やし,Алая печать — Пылающая кровь,적부-연혈
Card_Name/10014,赤符-癫之血,Scarlet Sigil - Blood of Madness,赤符-狂いの血,Алая печать — Кровь безумия,적부-광혈
Card_Name/20014,赤符-燃血疯,Scarlet Sigil - Burning Blood Frenzy,赤符-血燃やしの狂い,Алая печать — Безумие пылающей крови,적부-연혈광
Card_Name/15,心眼,Mind's Eye,心眼,Око разума,심안
Card_Name/16,东风归,,,,동풍귀
Card_Name/17,惊蛰,,,,경칩
Card_Name/18,点卯,Roll Call,点呼（てんこ）,Перекличка,점묘
Card_Name/10018,点卯-青墨,Roll Call - Cyan Ink,点呼-青墨（せいぼく）,Перекличка — Лазурные чернила,점묘-청묵
Card_Name/20018,点卯-雷毫,Roll Call - Lightning Brush,点呼-雷毫,Перекличка — Молниевая кисть,점묘-뇌호
Card_Name/19,僵尸之血,Zombie Blood,僵屍の血,Кровь зомби,강시의 피
Card_Name/20,嚎魂,Howling Soul,哮魂（こうこん）,Воющая душа,호혼
Card_Name/10020,嚎魂-狂,Howling Soul - Frenzy,哮魂-狂,Воющая душа — Безумие,호혼-광
Card_Name/20020,嚎魂-怖,Howling Soul - Terror,哮魂-怖,Воющая душа — Ужас,호혼-포
Card_Name/21,咒锁,Curse Lock,呪鎖（じゅさ）,Замок проклятия,주쇄
Card_Name/10021,咒锁-杀,Curse Lock - Kill,呪鎖-殺,Замок проклятия — Убийство,주쇄-살
Card_Name/20021,咒锁-怨,Curse Lock - Resentment,呪鎖-怨,Замок проклятия — Злоба,주쇄-원
Card_Name/22,盾骸,Shield Remains,盾骸（とんがい）,Останки щита,순해
Card_Name/10022,盾骸-雷响,Shield Remains - Thunderclap,盾骸-雷響（らいきょう）,Останки щита — Громовой раскат,순해-뇌향
Card_Name/20022,盾骸-水壁,Shield Remains - Wall of Water,盾骸-水壁,Останки щита — Водяная стена,순해-수벽
Card_Name/23,弹刃,Blade Deflection,刃弾き（じんはじき）,Отражение клинка,탄인
Card_Name/10023,弹刃-雷反,Blade Deflection - Lightning Counter,刃弾き-雷返し,Отражение клинка — Молниевый контрудар,탄인-뇌반
Card_Name/20023,弹刃-迅风,Blade Deflection - Swift Wind,刃弾き-疾風,Отражение клинка — Стремительный ветер,탄인-신풍
Card_Name/24,三三阵,Triple Formation,三三陣,Тройное построение,삼삼진
Card_Name/10024,三三阵-妖,Triple Formation - Fiend,三三陣-妖,Тройное построение — Изверг,삼삼진-요
Card_Name/20024,三三阵-瞬,Triple Formation - Instant,三三陣-瞬,Тройное построение — Мгновение,삼삼진-순
Card_Name/25,灵嚼,Mana Muncher,霊嚼（れいしゃく）,Пожиратель маны,영작
Card_Name/10025,灵嚼-吞雷,Mana Muncher - Lightning Devour,霊嚼-呑雷（とんらい）,Пожиратель маны — Поглощение молний,영작-탄뢰
Card_Name/20025,灵嚼-御水,Mana Muncher - Water Commander,霊嚼-御水,Пожиратель маны — Повелитель воды,영작-어수
Card_Name/26,怨骨,Resentful Skeleton,怨骨（えんこつ）,Озлобленный скелет,원골
Card_Name/10026,怨骨-厄火,Resentful Skeleton - Calamity Fire,怨骨-厄火,Озлобленный скелет — Огонь бедствия,원골-액화
Card_Name/20026,怨骨-孽雷,Resentful Skeleton - Wicked Lightning,怨骨-孽雷,Озлобленный скелет — Злая молния,원골-얼뢰
Card_Name/27,鬼火,Ghost Fire,鬼火（おにび）,Призрачный огонь,귀화
Card_Name/10027,鬼火-荧,Ghost Fire - Glow,鬼火-蛍,Призрачный огонь — Свечение,귀화-형
Card_Name/20027,鬼火-爆,Ghost Fire - Explosion,鬼火-爆,Призрачный огонь — Взрыв,귀화-폭
Card_Name/28,掌中天眼,Palm-Eye,掌中天眼（しょうちゅうてんがん）,Ладонь-око,장중천안
Card_Name/10028,掌中天眼-吞灵,Palm-Eye - Spirit Devour,掌中天眼-呑霊,Ладонь-око — Поглощение духа,장중천안-탄령
Card_Name/20028,掌中天眼-神压,Palm-Eye - Divine Pressure,掌中天眼-神圧,Ладонь-око — Божественный гнет,장중천안-신압
Card_Name/29,腐生,Decayborn,生腐り（なまくさり）,Рожденный гнилью,부생
Card_Name/10029,腐生-尸泉,Decayborn - Corpse Fountain,生腐り-屍の泉,Рожденный гнилью — Трупный фонтан,부생-시천
