Where,Chinese,Korean
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【魍魉行军】战斗开始时，所有敌人获得1层龙威
【鬼道之主】每回合开始时，额外造成一次全体伤害
开启恶趣味通关后解锁随从阴兵上将","모든 적의 패시브 효과가 2배가 됩니다.
【망량행군】전투 시작 시, 모든 적이 【용위】 1중첩을 획득합니다.
【귀도지주】매 턴 시작 시, 전체 피해를 한 번 더 입힙니다.
악취미를 켠 채로 클리어하면 추종자 음병상장이 해금됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【骚狐狸之吻】战斗开始时，随机魅惑一名随从
开启恶趣味通关后解锁随从狐仙-玖安","모든 적의 패시브 효과가 2배가 됩니다.
【요호의 입맞춤】전투 시작 시, 추종자 한 명을 무작위로 매혹합니다.
악취미를 켠 채로 클리어하면 추종자 호선-구안이 해금됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【妖躯】奇数回合时，获得50%最大生命值的护盾
开启恶趣味通关后解锁随从妖龙-雨师
、魔蛟-云岚","모든 적의 패시브 효과가 2배가 됩니다.
【요구】홀수 턴에 최대 생명력의 50%에 해당하는 보호막을 획득합니다.
악취미를 켠 채로 클리어하면 추종자 요룡-우사
、마교-운람이 해금됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【翻天印】效果提升至造成75%最大生命值的伤害
【天数有尽】损失15%生命值就会生效
开启恶趣味通关后解锁随从法器-玉镇","모든 적의 패시브 효과가 2배가 됩니다.
【번천인】효과가 최대 생명력의 75%에 해당하는 피해로 상승합니다.
【천수유진】생명력을 15% 잃으면 발동합니다.
악취미를 켠 채로 클리어하면 추종자 법기-옥진이 해금됩니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【文法-大道之行】偶数回合己方单位受到伤害为0
所有龙霄军会连开两枪，第二枪造成最大生命值15%的普通伤害
龙霄军每次换弹提高10点伤害
开启恶趣味通关后解锁随从阴阳符","모든 적의 패시브 효과가 2배가 됩니다.
【문법-대도지행】짝수 턴에 아군 유닛이 받는 피해가 0이 됩니다.
모든 용소군이 두 발을 연달아 쏘며, 두 번째 탄은 최대 생명력의 15%에 해당하는 일반 피해를 입힙니다.
용소군은 탄환을 교체할 때마다 피해가 10 증가합니다.
악취미를 켠 채로 클리어하면 추종자 음양부가 해금됩니다."
DifficultDic/ExBadRoge,"枯荣之理：施加【宿命】层数降低至3
大江东去：每回合开始时，引爆一个燃烧的纸人","고영지리: 부여하는 【숙명】 중첩이 3으로 감소합니다.
대강동거: 매 턴 시작 시, 연소지인 하나를 터뜨립니다."
DifficultDic/ExBadRoge,"武人之血：至少提高20点攻击力，效果作用于所有己方单位
斩立决：触发条件降低至9次
枯荣之理：施加【宿命】层数降低至3","무인지혈: 공격력을 최소 20 증가시키며, 효과가 자기 진영 모든 유닛에 적용됩니다.
참립결: 발동 조건이 9회로 감소합니다.
고영지리: 부여하는 【숙명】 중첩이 3으로 감소합니다."
DifficultDic/ExBadRoge,"春雷织雨：宿命层数降低至2
肆意之春：疫毒层数提高至3
春神之呓：回合开始时，所有己方单位获得2层抵抗","춘뢰직우: 숙명 중첩이 2로 감소합니다.
사의지춘: 역병 중첩이 3으로 증가합니다.
춘신의 잠꼬대: 턴 시작 시, 자기 진영 모든 유닛이 【저항】 2중첩을 획득합니다."
DifficultDic/ExBadRoge,"所有敌人被动效果翻倍
【游方歌】伤害提高至20，施加虚弱层数提高至2","모든 적의 패시브 효과가 2배가 됩니다.
【유방가】피해가 20으로 증가하고, 부여하는 【허약】 중첩이 2로 증가합니다."
DifficultDic/ExBadRoge,所有敌人被动效果翻倍,모든 적의 패시브 효과가 2배가 됩니다.
